AirTemp,BuiltSurface,Elevation,LST,LULC,NDBI,NDVI,PopulationDensity,UrbanClass,WaterDistance,WindSpeed,Longitude,Latitude
28.63506505,0,582,53.88098972,40,0.06883493,0.189527604,0.0,30,319.5309062,2.199088634,73.93707125,18.58509952
27.62282456,0,612,53.81262932,30,0.132712163,0.104908566,0.0,21,191.0497317,2.332534389,73.98754008,18.44590179
27.31336457,0,669,52.7838053,50,0.08781014,0.16827853,22.87912369,30,192.3538406,2.102473899,73.91451815,18.43495884
28.1694283,51,592,48.18315038,50,0.183724682,0.054166667,109.9725723,30,762.9547824,2.192059992,73.91582599,18.49498723
28.12798588,1,641,50.18269208,20,0.252622626,0.213627993,0.787631631,12,326.4965543,2.080543428,73.75619144,18.67497259
28.1694283,38,578,46.3237475,50,0.057494452,0.113972341,97.3607254,30,191.0497317,2.192059992,73.94724666,18.47981732
28.14696374,34,578,44.20115708,50,-0.058466518,0.316889001,50.20698547,30,652.1502894,2.087858749,73.77161758,18.56063757
29.12462849,26,566,52.1514716,50,0.062138459,0.040364314,24.78519249,30,440.4543109,2.241365912,73.97836849,18.56900468
28.12798588,60,590,50.53133012,50,0.017957555,0.066587864,98.29958344,30,537.5872022,2.080543428,73.81666921,18.67166438
29.12462849,1,591,49.92292256,30,0.059552168,0.206601467,3.166279316,30,14.14213562,2.241365912,73.98162475,18.59765651
27.79409916,34,657,42.991178,50,-0.068013468,0.356328392,173.830307,30,539.3514624,1.964554078,73.84773365,18.45358906
29.29183769,0,567,53.50500752,40,0.123913044,0.148475349,1.715271473,12,560.8921465,2.224560324,74.09873469,18.64721068
28.14107453,0,637,51.66953078,40,0.050244782,0.187882694,0.0,12,376.9615365,2.550083672,74.08953058,18.43726969
28.88797394,0,568,43.79099468,40,-0.232331782,0.624546723,2.421158552,21,333.7663854,2.221364185,74.01463701,18.67187997
27.79409916,0,680,48.07377374,30,0.078601738,0.056778679,0.374944568,21,535.3503526,1.964554078,73.75055997,18.50574607
28.88797394,2,556,47.35940756,50,0.024711697,0.087568892,6.644982338,21,50.0,2.221364185,73.98445186,18.66976519
28.1694283,85,586,44.06443628,50,-0.109821799,0.381480526,586.8376465,30,1113.193604,2.192059992,73.86546957,18.49128372
29.29183769,0,557,53.20422176,10,0.048575432,0.140856903,0.0,12,462.7094121,2.224560324,74.07952606,18.55130792
28.52975997,0,602,52.1514716,40,-0.093062041,0.587309276,0.77216655,12,1103.90217,2.170833195,73.91551273,18.69866978
28.9400636,0,555,44.99413772,10,-0.032505552,0.374361731,7.413188934,21,782.9431652,2.351222966,74.05054981,18.48407196
28.1694283,65,598,47.08938398,50,0.019278748,0.280805687,353.6865845,30,976.5244493,2.192059992,73.89049585,18.50008412
26.60724477,8,600,45.35644784,20,0.013745704,0.384133108,21.17153931,21,125.2996409,1.532930593,73.73060126,18.40161589
27.29891325,0,576,49.76569364,40,0.01450116,0.25526413,0.0,13,475.0789408,1.673710019,73.71074226,18.52511495
